epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,165.711,0.54412,0.47944,0.04558,0.56331,0.51942,0.46046,0.16287,0.77071,0.60272,0.0666,0.000473071,0.000473071,0.000473071
2,333.467,0.56706,0.51145,0.04684,0.62018,0.4923,0.47221,0.16475,0.765,0.58201,0.06637,0.000918074,0.000918074,0.000918074
3,501.11,0.56588,0.49251,0.04892,0.55426,0.52302,0.45204,0.15321,0.78539,0.56338,0.0686,0.00133164,0.00133164,0.00133164
4,666.377,0.55392,0.50277,0.04519,0.62025,0.51978,0.46512,0.16248,0.81922,0.62254,0.07395,0.00128753,0.00128753,0.00128753
5,828.582,0.57726,0.49836,0.05192,0.55277,0.49181,0.43236,0.18839,0.72373,0.58733,0.06134,0.00124037,0.00124037,0.00124037
6,995.818,0.56532,0.49351,0.04722,0.58117,0.46283,0.43359,0.13408,0.80872,0.58415,0.07223,0.00119322,0.00119322,0.00119322
7,1160.1,0.55737,0.49417,0.04832,0.6168,0.54506,0.51146,0.18467,0.7564,0.60674,0.06465,0.00114606,0.00114606,0.00114606
8,1327.61,0.53417,0.48792,0.04383,0.62687,0.55377,0.49823,0.17165,0.8064,0.56599,0.06752,0.0010989,0.0010989,0.0010989
9,1495.16,0.51963,0.47148,0.04261,0.66347,0.50966,0.51923,0.15505,0.83057,0.55405,0.07193,0.00105174,0.00105174,0.00105174
10,1662.51,0.51076,0.47282,0.04533,0.56837,0.53344,0.47081,0.16485,0.82945,0.52945,0.07768,0.00100459,0.00100459,0.00100459
11,1831.13,0.53003,0.47494,0.04362,0.57425,0.51587,0.46645,0.20069,0.73169,0.58155,0.06429,0.00095743,0.00095743,0.00095743
12,2003.38,0.51927,0.4655,0.04138,0.62098,0.54948,0.5438,0.19957,0.73491,0.58287,0.06206,0.000910273,0.000910273,0.000910273
13,2180.98,0.51932,0.47218,0.03967,0.67115,0.55607,0.52142,0.17823,0.7398,0.58055,0.06479,0.000863116,0.000863116,0.000863116
14,2348.94,0.49981,0.47423,0.03989,0.63236,0.60184,0.55426,0.18409,0.77877,0.54965,0.06876,0.000815959,0.000815959,0.000815959
15,2519.1,0.48308,0.45377,0.039,0.62967,0.50222,0.47051,0.17269,0.75694,0.58715,0.06403,0.000768802,0.000768802,0.000768802
16,2699.52,0.48321,0.4526,0.03721,0.61877,0.55914,0.51683,0.20086,0.73449,0.57321,0.06328,0.000721645,0.000721645,0.000721645
17,2875.64,0.47932,0.45583,0.03941,0.63917,0.58081,0.52922,0.18982,0.73706,0.55644,0.06455,0.000674488,0.000674488,0.000674488
18,3050.23,0.48129,0.45882,0.03703,0.64319,0.56898,0.5205,0.20753,0.71459,0.57137,0.06131,0.000627331,0.000627331,0.000627331
19,3229.36,0.48134,0.44467,0.04032,0.5783,0.58911,0.50609,0.18199,0.75244,0.56537,0.06181,0.000580174,0.000580174,0.000580174
20,3403.59,0.47148,0.44925,0.0371,0.62913,0.56321,0.49541,0.17484,0.77874,0.55921,0.06361,0.000533017,0.000533017,0.000533017
21,3580.01,0.44241,0.44109,0.0374,0.67336,0.56216,0.49542,0.18873,0.74294,0.57434,0.06207,0.00048586,0.00048586,0.00048586
22,3748.02,0.42498,0.43087,0.03613,0.59729,0.58572,0.53238,0.19799,0.73299,0.60474,0.06496,0.000438703,0.000438703,0.000438703
23,3916.13,0.42468,0.43063,0.03523,0.62049,0.58652,0.55094,0.20834,0.67942,0.61311,0.05986,0.000391546,0.000391546,0.000391546
24,4088.18,0.41961,0.42463,0.03434,0.64243,0.55187,0.53832,0.1847,0.74082,0.57427,0.06172,0.000344389,0.000344389,0.000344389
25,4260.22,0.43352,0.42026,0.0355,0.6499,0.5451,0.49216,0.20652,0.71166,0.59199,0.06063,0.000297232,0.000297232,0.000297232
26,4435.9,0.40393,0.41923,0.03358,0.68845,0.54914,0.54995,0.20605,0.69639,0.6135,0.05453,0.000250075,0.000250075,0.000250075
27,4603.26,0.40204,0.41184,0.03222,0.65977,0.55304,0.54169,0.20875,0.72016,0.58616,0.05976,0.000202918,0.000202918,0.000202918
28,4778.89,0.39053,0.40873,0.03183,0.64712,0.56241,0.53027,0.21269,0.70398,0.59869,0.05855,0.000155761,0.000155761,0.000155761
29,4959.22,0.39153,0.41033,0.0327,0.66526,0.60243,0.56705,0.21307,0.69986,0.59163,0.0636,0.000108604,0.000108604,0.000108604
30,5131.04,0.37497,0.40669,0.03112,0.63995,0.60148,0.56104,0.20986,0.69023,0.59411,0.06192,6.1447e-05,6.1447e-05,6.1447e-05
