                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1105,                  69.62,                 1.3382,                      0,                      0,                      0,                      0,                 1.6049,                 31.335,                 1.0372,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.4782,                 110.19,                 1.4917,                      0,                      0,                      0,                      0,                 1.5033,                 30.299,                 1.0401,              9.604e-05,              9.604e-05,              9.604e-05
                      3,                  3.392,                 87.932,                 1.3917,                      0,                      0,                      0,                      0,                 1.5481,                 31.751,                 1.0558,             0.00014733,             0.00014733,             0.00014733
                      4,                  3.525,                  143.1,                 1.3996,                      0,                      0,                      0,                      0,                 1.6804,                 35.093,                 1.0877,             0.00019386,             0.00019386,             0.00019386
                      5,                 3.3931,                 57.494,                 1.3348,                      0,                      0,                      0,                      0,                 1.7085,                 40.833,                 0.9535,             0.00023565,             0.00023565,             0.00023565
                      6,                  2.792,                 18.408,                 1.1456,                0.00167,                0.03704,                0.00089,                0.00046,                 1.7888,                 43.324,                0.98002,             0.00027268,             0.00027268,             0.00027268
                      7,                 2.7681,                 9.2925,                 1.1495,                0.18948,                0.07407,                0.02672,                0.01361,                 1.8602,                 33.897,                0.96445,             0.00030496,             0.00030496,             0.00030496
                      8,                 2.5197,                 7.2139,                 1.1526,                0.12621,                0.07407,                0.01793,                0.01175,                 1.8512,                 22.748,                0.95629,             0.00033249,             0.00033249,             0.00033249
                      9,                 2.3905,                 4.7951,                 1.0887,                0.54412,                0.14815,                0.12547,                 0.0466,                 1.8967,                 12.938,                0.93786,             0.00035526,             0.00035526,             0.00035526
                     10,                  2.659,                  5.109,                 1.1061,                0.36975,                0.14815,                0.10022,                 0.0461,                 1.8478,                 19.352,                0.93012,             0.00037329,             0.00037329,             0.00037329
                     11,                 2.4856,                 4.4561,                 1.0384,                0.04678,                0.18519,                0.01811,                0.00715,                 1.9721,                   72.9,                0.90194,             0.00038656,             0.00038656,             0.00038656
                     12,                 2.6008,                 3.8162,                  1.062,                0.33979,                0.22222,                0.21596,                 0.0747,                 1.9163,                 7.8905,                0.90378,             0.00039508,             0.00039508,             0.00039508
                     13,                 2.1794,                 3.4922,                0.99006,                0.56067,                0.18519,                0.20025,                0.09552,                  1.973,                  5.088,                0.90805,             0.00039885,             0.00039885,             0.00039885
                     14,                 2.3591,                  3.786,                 1.0202,                0.40365,                0.25108,                0.21386,                0.09096,                 2.0048,                 4.1685,                0.90993,             0.00039786,             0.00039786,             0.00039786
                     15,                 2.5291,                 2.8701,                 1.0434,                 0.3589,                0.31139,                0.22007,                0.09135,                 2.0208,                 3.8344,                0.89936,             0.00039213,             0.00039213,             0.00039213
                     16,                 2.3396,                 3.1897,                 1.0336,                0.29855,                0.37037,                0.25962,                0.10598,                 2.0923,                 3.5088,                0.90429,             0.00038164,             0.00038164,             0.00038164
                     17,                 2.2177,                 3.2193,                0.97898,                0.43044,                0.39224,                0.29784,                0.11737,                 2.1745,                 2.7412,                0.90789,              0.0003664,              0.0003664,              0.0003664
                     18,                 2.3046,                 3.2932,                0.98061,                0.41672,                0.37046,                0.28872,                0.11061,                 2.1648,                 2.6742,                0.91322,             0.00034641,             0.00034641,             0.00034641
                     19,                 1.9361,                  2.092,                 1.0013,                0.38991,                0.37037,                0.27851,                0.09869,                 2.1283,                 2.5858,                0.91445,             0.00032166,             0.00032166,             0.00032166
                     20,                 2.4989,                  6.194,                 1.0165,                0.34817,                0.45523,                0.28245,                0.10201,                 2.1347,                 2.8207,                0.93124,             0.00029217,             0.00029217,             0.00029217
                     21,                 1.9975,                 2.3349,                0.99239,                0.33236,                0.40741,                0.26119,                0.11319,                 2.0924,                 3.0695,                0.93023,             0.00025792,             0.00025792,             0.00025792
                     22,                 2.0728,                 2.0305,                0.96339,                0.36081,                0.37037,                0.23753,                0.11572,                 2.0169,                 3.0052,                0.93111,             0.00021892,             0.00021892,             0.00021892
                     23,                 2.1391,                   2.25,                0.94894,                0.40122,                0.39735,                0.28009,                0.14508,                 2.0124,                 2.4074,                0.92692,             0.00017517,             0.00017517,             0.00017517
                     24,                 2.0649,                 2.4322,                0.96963,                0.38997,                0.37037,                0.31432,                0.15898,                 1.9924,                 2.1066,                0.91699,             0.00012666,             0.00012666,             0.00012666
                     25,                  1.942,                 1.8316,                0.93825,                0.47201,                 0.2963,                0.34167,                0.16031,                 2.0109,                  1.978,                0.91719,             7.3408e-05,             7.3408e-05,             7.3408e-05
