                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6038,                 12.152,                 1.2224,                0.00065,                0.05556,                0.00035,                 0.0001,                 2.4409,                 5.9909,                 1.0129,                 0.0003,                 0.0003,                 0.0003
                      2,                 2.2257,                 6.1039,                 1.1046,                0.00011,                0.00926,                  5e-05,                  1e-05,                 2.3612,                 5.8133,                 1.0073,             0.00060977,             0.00060977,             0.00060977
                      3,                 2.1185,                 4.9348,                 1.0639,                0.00011,                0.00926,                  5e-05,                  1e-05,                 2.1881,                  5.667,                 1.0156,             0.00090898,             0.00090898,             0.00090898
                      4,                 2.1091,                 4.5348,                 1.0589,                0.00011,                0.00926,                  5e-05,                  4e-05,                 2.2167,                 4.5219,                 1.0667,              0.0011976,              0.0011976,              0.0011976
                      5,                 1.9806,                  3.695,                 1.0283,                      1,                 0.0567,                0.20719,                 0.0972,                 2.1706,                 3.4838,                 1.0973,              0.0014757,              0.0014757,              0.0014757
                      6,                 2.0914,                  3.566,                 1.0938,                0.02985,                0.14352,                0.02141,                0.00808,                 2.2393,                    inf,                 1.0965,              0.0017432,              0.0017432,              0.0017432
                      7,                 2.0917,                 3.4449,                 1.0162,                0.52638,                0.22126,                0.22914,                0.09989,                 2.1702,                 2.6722,                 1.0795,               0.001802,               0.001802,               0.001802
                      8,                 2.0124,                 3.1406,                 1.0507,                0.61706,                0.26389,                0.32408,                0.12152,                 2.2247,                 2.2134,                 1.0892,               0.001769,               0.001769,               0.001769
                      9,                 1.9571,                 2.6355,                 1.0323,                0.59191,                 0.3089,                0.34288,                0.15372,                 2.1273,                  2.247,                 1.0346,               0.001736,               0.001736,               0.001736
                     10,                 1.8723,                 2.4256,                  1.049,                0.46457,                0.35185,                0.33425,                0.13454,                 2.0695,                 2.0037,                 1.0147,               0.001703,               0.001703,               0.001703
                     11,                 2.0689,                 2.4743,                 1.0755,                0.56564,                0.42593,                0.42452,                0.18094,                 2.1312,                 1.9033,                 1.0037,                0.00167,                0.00167,                0.00167
                     12,                  1.894,                 2.2054,                 1.0077,                0.43128,                0.40374,                0.36132,                0.14744,                 2.2327,                 1.9191,                 1.0067,               0.001637,               0.001637,               0.001637
                     13,                 1.8588,                 2.0464,                 1.0075,                0.56774,                0.40278,                0.43139,                0.19492,                  2.062,                 1.7586,                 1.0157,               0.001604,               0.001604,               0.001604
                     14,                 1.8268,                 1.9624,                 1.0392,                 0.6161,                 0.4458,                0.49381,                 0.2221,                 1.9694,                 1.6576,                0.99306,               0.001571,               0.001571,               0.001571
                     15,                 1.8242,                 1.7915,                 0.9898,                0.63866,                0.50926,                0.51532,                0.22427,                  1.991,                 1.6279,                 1.0089,               0.001538,               0.001538,               0.001538
                     16,                 1.7525,                 1.6921,                  1.011,                0.69668,                0.36154,                0.44402,                0.17801,                 2.0715,                  1.955,                 1.0093,               0.001505,               0.001505,               0.001505
                     17,                 1.8288,                 1.7739,                 1.0276,                0.58196,                0.41667,                0.45392,                0.18081,                 2.0812,                 1.6607,                  1.002,               0.001472,               0.001472,               0.001472
                     18,                 1.8538,                  1.693,                 1.0069,                0.55743,                0.42567,                0.43243,                0.17381,                 2.1418,                 1.4949,                 1.0128,               0.001439,               0.001439,               0.001439
                     19,                 1.7964,                 1.6405,                0.99199,                0.59699,                0.49074,                0.52244,                0.21922,                 2.0293,                 1.3741,                0.99091,               0.001406,               0.001406,               0.001406
                     20,                 1.6807,                 1.5406,                 0.9829,                0.68119,                0.46759,                0.54688,                0.25074,                 1.9537,                 1.3257,                0.98411,               0.001373,               0.001373,               0.001373
                     21,                  1.713,                 1.4055,                      1,                0.55163,                0.48611,                0.48978,                0.21455,                 1.9876,                 1.3714,                 1.0082,                0.00134,                0.00134,                0.00134
