                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5693,                 12.143,                 1.2179,                0.00091,                 0.0787,                 0.0005,                0.00018,                 2.5018,                 5.9713,                 1.0199,                 0.0003,                 0.0003,                 0.0003
                      2,                 2.2592,                 5.9818,                 1.1126,                  5e-05,                0.00463,                  3e-05,                      0,                 2.3689,                 5.9051,                 1.0346,             0.00060977,             0.00060977,             0.00060977
                      3,                 2.0899,                  4.877,                 1.0559,                0.00011,                0.00926,                  5e-05,                  2e-05,                 2.1253,                 5.5457,                 1.0309,             0.00090898,             0.00090898,             0.00090898
                      4,                 2.1045,                 4.4721,                 1.0468,                0.00108,                0.09259,                0.01159,                  0.007,                 2.3592,                 4.5578,                 1.0494,              0.0011976,              0.0011976,              0.0011976
                      5,                 2.0429,                 3.6883,                 1.0332,                0.65657,                0.05317,                0.16016,                0.05391,                 2.4381,                 3.6194,                 1.0464,              0.0014757,              0.0014757,              0.0014757
                      6,                 2.0471,                 3.5933,                 1.0805,                0.68681,                0.12037,                0.17665,                0.07483,                  2.495,                 3.3443,                 1.2086,              0.0017432,              0.0017432,              0.0017432
                      7,                 2.1096,                 3.5795,                 1.0268,                0.46494,                0.18981,                 0.2135,                0.07177,                 2.5739,                 2.8696,                  1.125,               0.001802,               0.001802,               0.001802
                      8,                 2.0504,                 3.3865,                  1.066,                0.73263,                0.14815,                0.29292,                0.11398,                 2.2193,                 2.7574,                 1.0573,               0.001769,               0.001769,               0.001769
                      9,                 1.8947,                  2.823,                 1.0339,                0.80538,                0.12037,                0.24332,                0.09214,                 2.3818,                 2.8362,                 1.1185,               0.001736,               0.001736,               0.001736
                     10,                 1.8376,                 2.4992,                 1.0488,                0.53529,                0.27731,                0.33039,                 0.1236,                 2.3988,                  2.165,                 1.0841,               0.001703,               0.001703,               0.001703
                     11,                 2.0029,                 2.5281,                 1.0891,                0.59073,                0.21296,                0.30269,                0.12219,                  2.361,                 2.3472,                  1.048,                0.00167,                0.00167,                0.00167
                     12,                  1.947,                 2.2061,                 1.0264,                0.53346,                0.31019,                0.35462,                0.14265,                 2.4755,                 1.9807,                 1.0597,               0.001637,               0.001637,               0.001637
                     13,                  1.911,                 2.1609,                 1.0159,                0.61074,                0.35185,                0.40107,                0.18294,                 2.2428,                 1.9704,                  1.054,               0.001604,               0.001604,               0.001604
                     14,                 1.8415,                 2.0378,                 1.0317,                0.52104,                0.40741,                0.43015,                0.20048,                 2.0387,                 1.9702,                 1.0318,               0.001571,               0.001571,               0.001571
                     15,                 1.8343,                 1.8366,                 1.0002,                0.70503,                0.36517,                0.44902,                 0.2118,                 2.0122,                 1.8474,                 1.0223,               0.001538,               0.001538,               0.001538
                     16,                 1.7881,                  1.803,                 1.0174,                 0.5445,                0.39815,                0.42238,                0.19218,                 1.9866,                 1.8542,                 1.0209,               0.001505,               0.001505,               0.001505
                     17,                 1.8081,                 1.7498,                   1.02,                0.51428,                0.46296,                 0.4392,                0.19731,                 1.9795,                 1.5367,                 1.0285,               0.001472,               0.001472,               0.001472
                     18,                 1.8644,                 1.7123,                 1.0158,                0.48387,                 0.4514,                0.41831,                0.18394,                 2.0374,                 1.4082,                 1.0243,               0.001439,               0.001439,               0.001439
                     19,                 1.8254,                 1.6608,                 1.0018,                0.60232,                0.45833,                0.49091,                0.21292,                 1.9823,                  1.324,                0.99089,               0.001406,               0.001406,               0.001406
                     20,                 1.7042,                 1.5323,                0.99515,                0.61638,                0.44444,                0.49055,                0.21228,                  2.012,                 1.3311,                 1.0024,               0.001373,               0.001373,               0.001373
                     21,                 1.7424,                 1.4428,                 1.0003,                0.57152,                 0.4755,                0.49318,                0.21914,                 2.0088,                 1.3635,                 1.0033,                0.00134,                0.00134,                0.00134
                     22,                 1.7125,                 1.4513,                 1.0034,                0.63263,                0.45833,                 0.4988,                0.21121,                 1.9725,                 1.3222,                0.99915,               0.001307,               0.001307,               0.001307
                     23,                 1.6599,                 1.3689,                0.98396,                 0.6498,                0.48611,                0.51128,                0.22287,                 1.9668,                 1.2648,                0.99786,               0.001274,               0.001274,               0.001274
                     24,                 1.7194,                 1.3832,                0.98097,                0.64206,                0.48148,                0.52347,                0.22417,                 1.9962,                  1.344,                0.99342,               0.001241,               0.001241,               0.001241
                     25,                  1.725,                 1.3611,                0.99316,                0.65862,                0.46447,                0.50686,                0.23291,                 1.8753,                 1.3129,                 1.0015,               0.001208,               0.001208,               0.001208
                     26,                 1.6519,                 1.3394,                0.98204,                0.64889,                    0.5,                0.53067,                0.24146,                 1.9001,                 1.2563,                0.99849,               0.001175,               0.001175,               0.001175
                     27,                 1.6499,                 1.2798,                0.98134,                 0.5469,                0.55322,                0.52731,                0.24091,                 1.9265,                 1.4474,                 1.0059,               0.001142,               0.001142,               0.001142
                     28,                 1.6138,                   1.17,                0.98032,                0.63486,                0.46759,                0.48832,                0.22896,                 1.9431,                 1.3466,                 1.0002,               0.001109,               0.001109,               0.001109
                     29,                  1.624,                 1.1502,                0.96315,                0.69918,                0.48148,                0.52833,                0.25185,                  1.872,                 1.2698,                0.98772,               0.001076,               0.001076,               0.001076
                     30,                 1.5482,                  1.144,                0.92381,                0.62459,                0.50926,                0.54327,                 0.2537,                 1.8486,                 1.2609,                0.98501,               0.001043,               0.001043,               0.001043
                     31,                 1.6001,                 1.1301,                0.96027,                0.64335,                0.45097,                0.49066,                0.22284,                 1.9343,                  1.272,                0.98752,                0.00101,                0.00101,                0.00101
                     32,                 1.5095,                 1.0657,                0.94005,                0.70242,                0.45833,                0.52826,                0.24304,                 1.8811,                 1.2525,                0.98262,               0.000977,               0.000977,               0.000977
                     33,                 1.5264,                 1.0778,                0.93303,                0.67712,                0.48611,                0.55255,                0.25567,                 1.8371,                  1.243,                0.97415,               0.000944,               0.000944,               0.000944
                     34,                 1.6336,                 1.0791,                0.92534,                0.63515,                0.46296,                0.50841,                0.23196,                 1.9651,                 1.3393,                0.99186,               0.000911,               0.000911,               0.000911
                     35,                 1.5529,                 1.0348,                0.94326,                0.73449,                0.40741,                 0.5033,                 0.2335,                 1.9466,                  1.344,                0.98513,               0.000878,               0.000878,               0.000878
                     36,                 1.5714,                 1.0689,                0.93944,                0.69023,                 0.4539,                0.52283,                0.24184,                 1.9243,                 1.1883,                0.98721,               0.000845,               0.000845,               0.000845
                     37,                 1.6007,                 1.1339,                0.93375,                0.77683,                0.37963,                0.48313,                0.19209,                 2.1424,                 1.4722,                  1.002,               0.000812,               0.000812,               0.000812
                     38,                 1.5251,                 1.0234,                0.92273,                0.64131,                0.48611,                0.52876,                0.23103,                 1.9241,                 1.5023,                0.97992,               0.000779,               0.000779,               0.000779
                     39,                 1.4985,                0.99784,                0.91862,                0.69184,                0.53704,                0.56923,                0.26173,                 1.8261,                 1.2415,                0.95788,               0.000746,               0.000746,               0.000746
                     40,                 1.5977,                  1.043,                0.95819,                 0.7744,                0.52315,                0.60826,                0.28325,                 1.8271,                 1.1791,                0.96412,               0.000713,               0.000713,               0.000713
                     41,                 1.4678,                 0.9454,                0.92462,                0.77716,                0.53241,                0.61665,                 0.2966,                 1.8283,                 1.1177,                0.96806,                0.00068,                0.00068,                0.00068
                     42,                 1.4137,                0.91876,                 0.9182,                0.70579,                0.53241,                 0.5776,                0.24289,                   1.93,                 1.1894,                0.97364,               0.000647,               0.000647,               0.000647
                     43,                 1.5351,                 1.0128,                0.93374,                0.74147,                0.51389,                0.57476,                0.25922,                 1.7884,                 1.1667,                0.97226,               0.000614,               0.000614,               0.000614
                     44,                  1.453,                0.92675,                0.90524,                0.68277,                0.44444,                0.52065,                0.23557,                 1.8822,                 1.2796,                0.97991,               0.000581,               0.000581,               0.000581
                     45,                 1.5124,                0.95904,                0.94414,                0.70833,                0.52315,                0.58739,                0.26733,                 1.8378,                 1.1534,                0.97808,               0.000548,               0.000548,               0.000548
                     46,                 1.4367,                0.93822,                0.92252,                0.70877,                0.50703,                0.56918,                0.26134,                 1.8651,                 1.1733,                 0.9846,               0.000515,               0.000515,               0.000515
                     47,                 1.4283,                0.94665,                0.91087,                 0.7717,                0.51389,                0.60155,                0.27918,                 1.7762,                 1.1233,                 0.9654,               0.000482,               0.000482,               0.000482
                     48,                  1.437,                 0.9368,                 0.9205,                0.76051,                0.51457,                0.61197,                0.28298,                 1.8084,                 1.1143,                0.96312,               0.000449,               0.000449,               0.000449
                     49,                 1.4688,                0.97162,                0.93309,                0.76744,                0.50418,                0.60403,                0.27781,                 1.8345,                 1.1894,                0.95919,               0.000416,               0.000416,               0.000416
                     50,                 1.3482,                0.87297,                0.92114,                0.67542,                0.56019,                0.60669,                0.28806,                 1.7995,                 1.2092,                 0.9541,               0.000383,               0.000383,               0.000383
                     51,                 1.4274,                0.96522,                0.93062,                0.69512,                0.54167,                0.62301,                0.28336,                  1.808,                 1.1695,                0.95524,                0.00035,                0.00035,                0.00035
                     52,                 1.3638,                0.92506,                0.90615,                0.70829,                0.50926,                0.58913,                0.26168,                 1.8885,                 1.1804,                0.96205,               0.000317,               0.000317,               0.000317
                     53,                 1.4151,                0.98052,                0.95668,                  0.679,                0.52883,                0.59528,                0.26879,                 1.8593,                 1.1389,                0.96104,               0.000284,               0.000284,               0.000284
                     54,                  1.357,                0.88578,                0.90276,                0.65649,                0.58333,                0.61969,                0.28416,                 1.7708,                 1.1003,                0.95258,               0.000251,               0.000251,               0.000251
                     55,                 1.3543,                0.91677,                0.93215,                0.61794,                0.58796,                0.60571,                 0.2674,                  1.844,                 1.1088,                0.95651,               0.000218,               0.000218,               0.000218
                     56,                 1.3178,                0.85376,                0.89269,                0.61022,                 0.5787,                0.59872,                0.27148,                 1.8253,                 1.1098,                0.95743,               0.000185,               0.000185,               0.000185
                     57,                 1.3292,                0.86234,                0.93209,                0.63785,                0.56944,                0.60394,                0.28171,                 1.8003,                 1.1179,                0.95906,               0.000152,               0.000152,               0.000152
                     58,                 1.2886,                0.83747,                0.89554,                0.69331,                 0.5463,                0.60382,                0.28334,                 1.8014,                 1.1347,                0.95924,               0.000119,               0.000119,               0.000119
                     59,                 1.3226,                0.86631,                0.90336,                0.69229,                0.52778,                0.59701,                0.27814,                 1.8043,                 1.1306,                0.95322,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                   1.33,                0.86893,                0.91384,                0.69753,                0.52778,                0.59904,                 0.2768,                 1.8051,                 1.1373,                0.95095,                5.3e-05,                5.3e-05,                5.3e-05
