                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3965,                 21.401,                 1.1435,                 0.4326,                0.28723,                 0.1156,                0.05054,                 1.9065,                  10.26,                 1.0119,             0.00021435,             0.00021435,             0.00021435
                      2,                 2.1544,                 3.6974,                 1.0036,                 0.2286,                0.25893,                0.17582,                0.08172,                 1.7832,                 2.9348,                0.96899,             0.00043568,             0.00043568,             0.00043568
                      3,                 2.0453,                  2.475,                0.99763,                0.14627,                0.16212,                0.07044,                0.03145,                 1.8626,                 17.466,                0.96048,             0.00064947,             0.00064947,             0.00064947
                      4,                 1.9972,                 1.9307,                0.99184,                0.29191,                0.16279,                0.16948,                0.08089,                  1.894,                  2.382,                0.97919,             0.00085571,             0.00085571,             0.00085571
                      5,                 1.9624,                 1.8085,                 1.0014,                0.54415,                0.31289,                0.34383,                0.13801,                 1.9196,                 1.8615,                0.97855,              0.0010544,              0.0010544,              0.0010544
                      6,                 1.8551,                 1.8294,                0.98321,                0.22618,                 0.1689,                0.15085,                0.06287,                 2.1708,                 5.6379,                 1.0673,              0.0012456,              0.0012456,              0.0012456
                      7,                 1.9425,                 1.6719,                0.97902,                0.56278,                0.27689,                0.17008,                0.06702,                  2.108,                 4.0541,                 1.0354,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.8214,                 1.6119,                0.98323,                0.71095,                0.36679,                0.33117,                0.14318,                 1.8674,                 1.9401,                0.98171,               0.001264,               0.001264,               0.001264
                      9,                 1.9374,                  1.625,                0.99668,                0.69551,                 0.2504,                0.31637,                0.14316,                 1.9321,                  1.781,                0.99373,              0.0012404,              0.0012404,              0.0012404
                     10,                 1.8932,                 1.4176,                0.97072,                0.47275,                0.33001,                0.33054,                0.14615,                  1.857,                 1.5854,                0.97617,              0.0012168,              0.0012168,              0.0012168
                     11,                 1.9254,                 1.5615,                0.95165,                0.47202,                0.41769,                0.42447,                0.19158,                 1.7817,                 1.3237,                0.96668,              0.0011932,              0.0011932,              0.0011932
                     12,                 1.9635,                 1.4281,                0.99191,                0.57031,                0.46215,                0.44222,                0.18661,                 1.8436,                 1.3183,                 0.9803,              0.0011696,              0.0011696,              0.0011696
                     13,                 1.9889,                 1.4627,                0.99486,                 0.5916,                0.38113,                0.46597,                0.18315,                 1.9874,                  1.501,                0.98508,              0.0011461,              0.0011461,              0.0011461
                     14,                 1.8217,                 1.2806,                0.96317,                0.50692,                0.47437,                0.48941,                0.22202,                  1.816,                 1.3177,                0.98041,              0.0011225,              0.0011225,              0.0011225
                     15,                 1.8949,                 1.3945,                0.98303,                0.47978,                0.54641,                0.52122,                0.23663,                 1.8677,                 1.3119,                0.99238,              0.0010989,              0.0010989,              0.0010989
                     16,                 1.8032,                 1.2791,                0.96021,                 0.4976,                0.45766,                0.49735,                0.23012,                 1.8581,                 1.2164,                0.97467,              0.0010753,              0.0010753,              0.0010753
                     17,                  1.853,                 1.2886,                 0.9801,                0.53677,                0.52531,                0.49419,                0.23808,                 1.9304,                 1.3107,                0.99414,              0.0010517,              0.0010517,              0.0010517
                     18,                 1.8774,                 1.3152,                0.96351,                0.48738,                 0.4668,                 0.4224,                0.20116,                 1.9463,                 1.4088,                 1.0152,              0.0010282,              0.0010282,              0.0010282
                     19,                 1.7548,                 1.1428,                0.94455,                0.52479,                0.50661,                  0.461,                0.23491,                 1.7635,                 1.2201,                0.98105,              0.0010046,              0.0010046,              0.0010046
                     20,                 1.7894,                 1.1775,                0.93366,                0.44078,                0.42461,                0.40236,                0.16994,                 1.8841,                 1.4605,                0.99526,             0.00098101,             0.00098101,             0.00098101
                     21,                 1.7725,                 1.2024,                 0.9704,                0.55106,                0.46631,                0.43587,                0.20241,                 1.8499,                 1.2351,                0.99442,             0.00095743,             0.00095743,             0.00095743
                     22,                 1.7493,                 1.1275,                0.92946,                0.66442,                0.40877,                0.46859,                0.21552,                 1.7633,                 1.1756,                0.96321,             0.00093385,             0.00093385,             0.00093385
                     23,                 1.7391,                 1.1526,                 0.9672,                0.52181,                0.49813,                0.50353,                0.23154,                  1.704,                 1.1938,                0.96049,             0.00091027,             0.00091027,             0.00091027
